,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,1237,1747,-1,
1,2,1,1,0,0,0,59,32,1159,46,-1,
2,3,1,1,1,0,0,48,36,1170,38,-1,
3,4,1,1,1,1,0,991,36,223,17,-1,
4,5,1,1,1,1,1,991,39,24,14,11,ia
5,5,1,1,1,1,2,1127,40,17,7,51,1
6,5,1,1,1,1,3,1209,36,5,13,48,1
7,4,1,1,1,2,0,59,32,1159,46,-1,
8,5,1,1,1,2,1,59,32,12,46,22,pn
9,5,1,1,1,2,2,974,60,69,10,0,Jbyç
10,5,1,1,1,2,3,1206,56,12,5,30,e
11,2,1,2,0,0,0,1059,101,149,6,-1,
12,3,1,2,1,0,0,1059,101,149,6,-1,
13,4,1,2,1,1,0,1059,101,149,6,-1,
14,5,1,2,1,1,1,1059,101,149,6,95, 
15,2,1,3,0,0,0,79,139,1103,86,-1,
16,3,1,3,1,0,0,79,139,1103,86,-1,
17,4,1,3,1,1,0,79,139,1103,86,-1,
18,5,1,3,1,1,1,79,139,19,77,95, 
19,5,1,3,1,1,2,1127,147,55,78,95,  
20,2,1,4,0,0,0,261,274,908,40,-1,
21,3,1,4,1,0,0,261,274,908,40,-1,
22,4,1,4,1,1,0,261,274,908,40,-1,
23,5,1,4,1,1,1,261,286,12,9,95, 
24,5,1,4,1,1,2,1103,274,66,40,95, 
25,2,1,5,0,0,0,1077,364,132,5,-1,
26,3,1,5,1,0,0,1077,364,132,5,-1,
27,4,1,5,1,1,0,1077,364,132,5,-1,
28,5,1,5,1,1,1,1077,364,132,5,95, 
29,2,1,6,0,0,0,214,364,860,9,-1,
30,3,1,6,1,0,0,214,364,860,9,-1,
31,4,1,6,1,1,0,214,364,860,9,-1,
32,5,1,6,1,1,1,214,364,860,9,95, 
33,2,1,7,0,0,0,214,371,993,3,-1,
34,3,1,7,1,0,0,214,371,993,3,-1,
35,4,1,7,1,1,0,214,371,993,3,-1,
36,5,1,7,1,1,1,214,371,993,3,95, 
37,2,1,8,0,0,0,980,372,27,18,-1,
38,3,1,8,1,0,0,980,372,27,18,-1,
39,4,1,8,1,1,0,980,372,27,18,-1,
40,5,1,8,1,1,1,980,372,27,18,95, 
41,2,1,9,0,0,0,1182,495,17,14,-1,
42,3,1,9,1,0,0,1182,495,17,14,-1,
43,4,1,9,1,1,0,1182,495,17,14,-1,
44,5,1,9,1,1,1,1182,495,17,14,95, 
45,2,1,10,0,0,0,484,511,23,54,-1,
46,3,1,10,1,0,0,484,511,23,54,-1,
47,4,1,10,1,1,0,484,511,23,39,-1,
48,5,1,10,1,1,1,484,511,23,39,95,    
49,4,1,10,1,2,0,491,550,9,15,-1,
50,5,1,10,1,2,1,491,550,9,15,95, 
51,2,1,11,0,0,0,291,535,30,7,-1,
52,3,1,11,1,0,0,291,535,30,7,-1,
53,4,1,11,1,1,0,291,535,30,7,-1,
54,5,1,11,1,1,1,291,535,30,7,95, 
55,2,1,12,0,0,0,614,619,8,9,-1,
56,3,1,12,1,0,0,614,619,8,9,-1,
57,4,1,12,1,1,0,614,619,8,9,-1,
58,5,1,12,1,1,1,614,619,8,9,95, 
59,2,1,13,0,0,0,463,634,39,4,-1,
60,3,1,13,1,0,0,463,634,39,4,-1,
61,4,1,13,1,1,0,463,634,39,4,-1,
62,5,1,13,1,1,1,463,634,39,4,95, 
63,2,1,14,0,0,0,727,639,15,11,-1,
64,3,1,14,1,0,0,727,639,15,11,-1,
65,4,1,14,1,1,0,727,639,15,11,-1,
66,5,1,14,1,1,1,727,639,15,11,95, 
67,2,1,15,0,0,0,24,76,1186,729,-1,
68,3,1,15,1,0,0,24,76,1186,729,-1,
69,4,1,15,1,1,0,24,76,1186,26,-1,
70,5,1,15,1,1,1,24,82,69,20,25,xy
71,5,1,15,1,1,2,218,83,147,27,15,ANNO
72,5,1,15,1,1,3,309,73,35,41,41,1.º
73,5,1,15,1,1,4,1037,76,5,21,92,V
74,5,1,15,1,1,5,1075,81,111,16,30,NUMERO
75,5,1,15,1,1,6,1166,72,23,34,84,2
76,5,1,15,1,1,7,1205,86,5,12,40,4;
77,4,1,15,1,2,0,84,111,1126,19,-1,
78,5,1,15,1,2,1,84,111,12,11,0,$
79,5,1,15,1,2,2,1205,122,5,8,21,:
80,4,1,15,1,3,0,234,244,974,20,-1,
81,5,1,15,1,3,1,234,244,45,7,40,oe
82,5,1,15,1,3,2,1201,252,7,12,26,x
83,4,1,15,1,4,0,305,245,903,43,-1,
84,5,1,15,1,4,1,305,275,4,4,30,à
85,5,1,15,1,4,2,439,266,158,22,63,SENABABIO
86,5,1,15,1,4,3,614,245,188,41,42,REPUBLICANO
87,5,1,15,1,4,4,821,266,157,20,7,ACADEMICO
88,5,1,15,1,4,5,1206,280,2,5,59,|
89,4,1,15,1,5,0,85,311,1034,29,-1,
90,5,1,15,1,5,1,85,311,30,29,38,rã
91,5,1,15,1,5,2,511,316,143,20,91,PUBLICA-SE
92,5,1,15,1,5,3,665,316,30,19,89,ÁS
93,5,1,15,1,5,4,704,316,207,24,95,QUINTAS-FEIRAS
94,5,1,15,1,5,5,1117,324,2,2,0,s
95,4,1,15,1,6,0,84,341,1069,24,-1,
96,5,1,15,1,6,1,84,341,9,24,41,+
97,5,1,15,1,6,2,221,351,49,9,19,2
98,5,1,15,1,6,3,1048,331,37,44,7,ES
99,5,1,15,1,6,4,1112,346,41,7,11,od
100,4,1,15,1,7,0,85,369,1004,21,-1,
101,5,1,15,1,7,1,85,369,26,16,18,fz
102,5,1,15,1,7,2,530,386,2,2,0,j
103,5,1,15,1,7,3,976,375,70,15,37,REPETE
104,5,1,15,1,7,4,1049,368,23,30,27,cm
105,5,1,15,1,7,5,1087,381,2,2,30,de
106,4,1,15,1,8,0,231,378,978,40,-1,
107,5,1,15,1,8,1,231,393,49,4,0,BRICA
108,5,1,15,1,8,2,300,393,29,5,34,20:
109,5,1,15,1,8,3,376,391,53,3,8,BRILD
110,5,1,15,1,8,4,532,394,3,12,40,!
111,5,1,15,1,8,5,580,394,5,14,25,À
112,5,1,15,1,8,6,604,395,21,18,25,o
113,5,1,15,1,8,7,632,378,79,40,0,tefritina
114,5,1,15,1,8,8,724,399,9,10,40,e
