,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,1106,1491,-1,
1,2,1,1,0,0,0,50,65,678,134,-1,
2,3,1,1,1,0,0,50,65,678,134,-1,
3,4,1,1,1,1,0,50,65,678,134,-1,
4,5,1,1,1,1,1,50,65,678,134,95, 
5,2,1,2,0,0,0,800,71,147,38,-1,
6,3,1,2,1,0,0,800,71,147,38,-1,
7,4,1,2,1,1,0,800,71,147,38,-1,
8,5,1,2,1,1,1,800,71,127,38,55,A
9,5,1,2,1,1,2,897,50,39,76,14,0.
10,2,1,3,0,0,0,411,202,178,51,-1,
11,3,1,3,1,0,0,411,202,178,51,-1,
12,4,1,3,1,1,0,411,202,178,51,-1,
13,5,1,3,1,1,1,411,202,178,51,67,JORÉAL
14,2,1,4,0,0,0,173,275,657,23,-1,
15,3,1,4,1,0,0,173,275,657,23,-1,
16,4,1,4,1,1,0,173,275,657,23,-1,
17,5,1,4,1,1,1,173,275,26,15,96,DE
18,5,1,4,1,1,2,212,275,149,21,76,"INDUSTRIA,"
19,5,1,4,1,1,3,348,277,139,21,88,"SCIENCIAS,"
20,5,1,4,1,1,4,477,278,183,20,69,"LITTERATURA,"
21,5,1,4,1,1,5,648,280,12,15,92,E
22,5,1,4,1,1,6,673,277,156,18,91,BELLAS-ARTES.
23,2,1,5,0,0,0,57,324,891,17,-1,
24,3,1,5,1,0,0,57,324,891,17,-1,
25,4,1,5,1,1,0,57,324,891,17,-1,
26,5,1,5,1,1,1,57,324,891,17,95, 
27,2,1,6,0,0,0,89,371,369,19,-1,
28,3,1,6,1,0,0,89,371,369,19,-1,
29,4,1,6,1,1,0,89,371,369,19,-1,
30,5,1,6,1,1,1,89,371,186,16,92,LITTERATURA
31,5,1,6,1,1,2,262,373,14,14,93,E
32,5,1,6,1,1,3,285,373,173,17,86,"BELLAS-ARTES,"
33,2,1,7,0,0,0,205,415,127,5,-1,
34,3,1,7,1,0,0,205,415,127,5,-1,
35,4,1,7,1,1,0,205,415,127,5,-1,
36,5,1,7,1,1,1,205,415,127,5,95, 
37,2,1,8,0,0,0,200,443,144,60,-1,
38,3,1,8,1,0,0,200,443,144,60,-1,
39,4,1,8,1,1,0,233,443,80,16,-1,
40,5,1,8,1,1,1,233,443,80,16,88,BIROUK.
41,4,1,8,1,2,0,200,491,144,12,-1,
